조사연도,응답자ID,응답자키
2021,10011001,P21-008155
2021,10011002,P21-007660
2021,10011003,P21-007321
2021,10011004,P21-006847
2021,10011005,P21-000587
2021,10011006,P21-004676
2021,10011007,P21-009009
2021,10011008,P21-005991
2021,10011009,P21-003654
2021,10011010,P21-002999
2021,10011011,P21-005011
2021,10011012,P21-005309
2021,10011013,P21-002998
2021,10011014,P21-007811
2021,10011015,P21-003027
2021,10011016,P21-004842
2021,10011017,P21-008433
2021,10011018,P21-005402
2021,10011019,P21-000770
2021,10011020,P21-008461
2021,10011021,P21-001288
2021,10011022,P21-009017
2021,10011023,P21-009166
2021,10011024,P21-001810
2021,10011025,P21-006371
2021,10011026,P21-007951
2021,10011027,P21-004383
2021,10011028,P21-001013
2021,10011029,P21-004118
2021,10011030,P21-000615
2021,10011031,P21-004905
2021,10011032,P21-006298
2021,10011033,P21-009099
2021,10011034,P21-008284
2021,10011035,P21-008784
2021,10011036,P21-008701
2021,10011037,P21-005706
2021,10011038,P21-006765
2021,10011039,P21-004479
2021,10011040,P21-003846
2021,10011041,P21-003130
2021,10011042,P21-000531
2021,10011043,P21-000886
2021,10011044,P21-006803
2021,10011045,P21-006032
2021,10011046,P21-002448
2021,10011047,P21-007474
2021,10011048,P21-008310
2021,10011049,P21-007906
2021,10011050,P21-004251
2021,10011051,P21-001885
2021,10021001,P21-007994
2021,10021002,P21-001813
2021,10021003,P21-008120
2021,10021004,P21-007228
2021,10021005,P21-000542
2021,10021006,P21-009395
2021,10021007,P21-000581
2021,10021008,P21-008009
2021,10021009,P21-002569
2021,10021010,P21-004769
2021,10021011,P21-000388
2021,10021012,P21-001844
2021,10021013,P21-007589
2021,10021014,P21-008751
2021,10021015,P21-001989
2021,10021016,P21-002382
2021,10021017,P21-004675
2021,10021018,P21-008123
2021,10021019,P21-001664
2021,10021020,P21-001152
2021,10021021,P21-008440
2021,10021022,P21-006107
2021,10021023,P21-001204
2021,10021024,P21-006654
2021,10021025,P21-001751
2021,10021026,P21-002322
2021,10021027,P21-000112
2021,10021028,P21-007536
2021,10021029,P21-008602
2021,10021030,P21-006633
2021,10021031,P21-002366
2021,10021032,P21-004773
2021,10021033,P21-008851
2021,10021034,P21-001010
2021,10021035,P21-001951
2021,10021036,P21-004129
2021,10021037,P21-000849
2021,10021038,P21-007801
2021,10021039,P21-003759
2021,10031001,P21-006426
2021,10031002,P21-000296
2021,10031003,P21-000813
2021,10031004,P21-008507
2021,10031005,P21-005691
2021,10031006,P21-004935
2021,10031007,P21-004792
2021,10031008,P21-007760
2021,10031009,P21-007986
2021,10031010,P21-008292
2021,10031011,P21-000378
2021,10031012,P21-003566
2021,10031013,P21-003328
2021,10031014,P21-007548
2021,10031015,P21-003713
2021,10031016,P21-003695
2021,10031017,P21-007562
2021,10031018,P21-008063
2021,10031019,P21-004160
2021,10031020,P21-003413
2021,10031021,P21-002290
2021,10031022,P21-004425
2021,10041001,P21-004624
2021,10041002,P21-005768
2021,10041003,P21-004981
2021,10041004,P21-001970
2021,10041005,P21-002194
2021,10041006,P21-000975
2021,10041007,P21-006724
2021,10041008,P21-006102
2021,10041009,P21-005191
2021,10041010,P21-008601
2021,10041011,P21-008947
2021,10041012,P21-008909
2021,10041013,P21-006019
2021,10041014,P21-006153
2021,10041015,P21-000786
2021,10041016,P21-007556
2021,10041017,P21-002837
2021,10041018,P21-002675
2021,10041019,P21-004889
2021,10041020,P21-006125
2021,10041021,P21-000868
2021,10041022,P21-007408
2021,10041023,P21-003890
2021,10041024,P21-001476
2021,10041025,P21-004054
2021,10041026,P21-000783
2021,10041027,P21-000903
2021,10041028,P21-007839
2021,10041029,P21-003805
2021,10041030,P21-006339
2021,10041031,P21-000799
2021,10041032,P21-008994
2021,10041033,P21-004529
2021,10041034,P21-007284
2021,10041035,P21-007335
2021,10041036,P21-006691
2021,10041037,P21-004413
2021,10041038,P21-001736
2021,10041039,P21-002263
2021,10041040,P21-003399
2021,10041041,P21-003281
2021,10041042,P21-004563
2021,10041043,P21-002857
2021,10041044,P21-000556
2021,10041045,P21-007944
2021,10041046,P21-004340
2021,10041047,P21-003019
2021,10041048,P21-006034
2021,10041049,P21-003767
2021,10041050,P21-007218
2021,10041051,P21-006702
2021,10041052,P21-000832
2021,10051001,P21-004907
2021,10051002,P21-007187
2021,10051003,P21-001266
2021,10051004,P21-005443
2021,10051005,P21-004298
2021,10051006,P21-006925
2021,10051007,P21-000264
2021,10051008,P21-005255
2021,10051009,P21-004391
2021,10051010,P21-003507
2021,10051011,P21-006464
2021,10051012,P21-003198
2021,10051013,P21-003626
2021,10051014,P21-004954
2021,10051015,P21-008990
2021,10051016,P21-005266
2021,10051017,P21-000976
2021,10051018,P21-005378
2021,10051019,P21-006552
2021,10051020,P21-004987
2021,10051021,P21-004062
2021,10051022,P21-002061
2021,10051023,P21-006479
2021,10051024,P21-003569
2021,10051025,P21-003613
2021,10051026,P21-001672
2021,10051027,P21-007609
2021,10051028,P21-009269
2021,10051029,P21-002535
2021,10051030,P21-001065
2021,10051031,P21-000311
2021,10051032,P21-002911
2021,10051033,P21-006705
2021,10051034,P21-008818
2021,10051035,P21-007890
2021,10051036,P21-006871
2021,10051037,P21-006841
2021,10051038,P21-008085
2021,10051039,P21-001971
2021,10051040,P21-001108
2021,10051041,P21-008049
2021,10051042,P21-005084
2021,10051043,P21-000403
2021,10051044,P21-005846
2021,10051045,P21-006748
2021,10051046,P21-006314
2021,10051047,P21-004008
2021,10051048,P21-004281
2021,10051049,P21-007015
2021,10051050,P21-001225
2021,10051051,P21-009324
2021,10061001,P21-008119
2021,10061002,P21-005022
2021,10061003,P21-004815
2021,10061004,P21-008630
2021,10061005,P21-001023
2021,10061006,P21-005998
2021,10061007,P21-002591
2021,10061008,P21-009237
2021,10061009,P21-007255
2021,10061010,P21-006860
2021,10061011,P21-001433
2021,10061012,P21-006611
2021,10061013,P21-005306
2021,10061014,P21-007710
2021,10061015,P21-004313
2021,10061016,P21-008334
2021,10061017,P21-008898
2021,10061018,P21-008361
2021,10061019,P21-003959
2021,10061020,P21-001511
2021,10061021,P21-009244
2021,10061022,P21-006013
2021,10061023,P21-004833
2021,10061024,P21-009331
2021,10061025,P21-007655
2021,10061026,P21-006524
2021,10061027,P21-001428
2021,10061028,P21-008489
2021,10061029,P21-002354
2021,10061030,P21-007152
2021,10061031,P21-008060
2021,10061032,P21-000202
2021,10061033,P21-007530
2021,10061034,P21-004995
2021,10061035,P21-001326
2021,10061036,P21-006106
2021,10061037,P21-006859
2021,10061038,P21-009036
2021,10061039,P21-002667
2021,10061040,P21-007742
2021,10061041,P21-000833
2021,10061042,P21-005328
2021,10061043,P21-006345
2021,10061044,P21-001458
2021,10061045,P21-006097
2021,10061046,P21-003719
2021,10061047,P21-000262
2021,10071001,P21-002616
2021,10071002,P21-000772
2021,10071003,P21-004424
2021,10071004,P21-001698
2021,10071005,P21-000927
2021,10071006,P21-002110
2021,10071007,P21-006501
2021,10071008,P21-005601
2021,10071009,P21-004410
2021,10071010,P21-002022
2021,10071011,P21-006470
2021,10071012,P21-005020
2021,10071013,P21-007483
2021,10071014,P21-001197
2021,10071015,P21-003718
2021,10071016,P21-004519
2021,10071017,P21-006944
2021,10071018,P21-004382
2021,10071019,P21-009350
2021,10071020,P21-005081
2021,10071021,P21-006459
2021,10071022,P21-004291
2021,10071023,P21-009224
2021,10071024,P21-003181
2021,10071025,P21-005212
2021,10071026,P21-005887
2021,10071027,P21-000780
2021,10071028,P21-006350
2021,10071029,P21-006320
2021,10071030,P21-008508
2021,10071031,P21-005890
2021,10071032,P21-005352
2021,10071033,P21-002825
2021,10071034,P21-005476
2021,10071035,P21-008480
2021,10071036,P21-003353
2021,10071037,P21-005043
2021,10071038,P21-000438
2021,10071039,P21-004125
2021,10071040,P21-004126
2021,10071041,P21-008219
2021,10071042,P21-005363
2021,10071043,P21-007950
2021,10071044,P21-005994
2021,10071045,P21-003676
2021,10071046,P21-001346
2021,10071047,P21-005570
2021,10071048,P21-004626
2021,10071049,P21-005072
2021,10071050,P21-003536
2021,10071051,P21-003843
2021,10071052,P21-005326
2021,10071053,P21-005206
2021,10071054,P21-005439
2021,10071055,P21-008415
2021,10071056,P21-001832
2021,10071057,P21-007077
2021,10071058,P21-007696
2021,10081001,P21-008043
2021,10081002,P21-008824
2021,10081003,P21-008597
2021,10081004,P21-007139
2021,10081005,P21-006171
2021,10081006,P21-006008
2021,10081007,P21-001871
2021,10081008,P21-005857
2021,10081009,P21-000358
2021,10081010,P21-000111
2021,10081011,P21-000932
2021,10081012,P21-006953
2021,10081013,P21-001915
2021,10081014,P21-005795
2021,10081015,P21-009345
2021,10081016,P21-006466
2021,10081017,P21-006164
2021,10081018,P21-001285
2021,10081019,P21-000800
2021,10081020,P21-007454
2021,10081021,P21-002205
2021,10081022,P21-008030
2021,10081023,P21-000368
2021,10081024,P21-000034
2021,10081025,P21-008741
2021,10081026,P21-003795
2021,10081027,P21-006111
2021,10081028,P21-003270
2021,10081029,P21-005190
2021,10081030,P21-002465
2021,10081031,P21-005094
2021,10081032,P21-002627
2021,10081033,P21-006763
2021,10081034,P21-003926
2021,10081035,P21-004940
2021,10081036,P21-001006
2021,10081037,P21-000137
2021,10081038,P21-005803
2021,10081039,P21-005442
2021,10081040,P21-006494
2021,10081041,P21-005078
2021,10081042,P21-001973
2021,10081043,P21-001470
2021,10081044,P21-005362
2021,10081045,P21-002213
2021,10081046,P21-002566
2021,10081047,P21-009367
2021,10081048,P21-006882
2021,10081049,P21-004124
2021,10091001,P21-003992
2021,10091002,P21-000480
2021,10091003,P21-004973
2021,10091004,P21-003708
2021,10091005,P21-009133
2021,10091006,P21-002041
2021,10091007,P21-003562
2021,10091008,P21-000075
2021,10091009,P21-002356
2021,10091010,P21-003461
2021,10091011,P21-005470
2021,10091012,P21-000147
2021,10091013,P21-008644
2021,10091014,P21-003712
2021,10091015,P21-005529
2021,10091016,P21-001126
2021,10091017,P21-007831
2021,10091018,P21-007318
2021,10091019,P21-003442
2021,10091020,P21-009023
2021,10091021,P21-003625
2021,10091022,P21-001256
2021,10091023,P21-004435
2021,10091024,P21-002528
2021,10091025,P21-003561
2021,10091026,P21-004911
2021,10091027,P21-005613
2021,10091028,P21-008637
2021,10091029,P21-002279
2021,10091030,P21-005393
2021,10091031,P21-000744
2021,10091032,P21-005310
2021,10091033,P21-005247
2021,10091034,P21-002267
2021,10091035,P21-002640
2021,10091036,P21-008110
2021,10091037,P21-000158
2021,10091038,P21-008067
2021,10091039,P21-004736
2021,10091040,P21-000593
2021,10091041,P21-000382
2021,10091042,P21-005371
2021,10091043,P21-003753
2021,10091044,P21-007842
2021,10091045,P21-004384
2021,10091046,P21-005237
2021,10091047,P21-003175
2021,10091048,P21-002865
2021,10091049,P21-009282
2021,10091050,P21-000385
2021,10091051,P21-003845
2021,10091052,P21-008343
2021,10091053,P21-007062
2021,10101001,P21-002572
2021,10101002,P21-000028
2021,10101003,P21-005642
2021,10101004,P21-002893
2021,10101005,P21-007806
2021,10101006,P21-002697
2021,10101007,P21-003820
2021,10101008,P21-008884
2021,10101009,P21-008899
2021,10101010,P21-009213
2021,10101011,P21-001095
2021,10101012,P21-004742
2021,10101013,P21-003619
2021,10101014,P21-000342
2021,10101015,P21-003916
2021,10101016,P21-007274
2021,10101017,P21-001778
2021,10101018,P21-000585
2021,10101019,P21-000173
2021,10101020,P21-006733
2021,10101021,P21-002870
2021,10101022,P21-006142
2021,10101023,P21-009072
2021,10101024,P21-005076
2021,10101025,P21-004754
2021,10101026,P21-000898
2021,10101027,P21-004084
2021,10101028,P21-002987
2021,10101029,P21-003430
2021,10101030,P21-008807
2021,10101031,P21-006734
2021,10101032,P21-007816
2021,10101033,P21-003008
2021,10101034,P21-004365
2021,10101035,P21-002740
2021,10101036,P21-007272
2021,10101037,P21-008716
2021,10101038,P21-000908
2021,10101039,P21-004655
2021,10101040,P21-000219
2021,10101041,P21-002049
2021,10101042,P21-001984
2021,10101043,P21-000198
2021,10101044,P21-006007
2021,10101045,P21-007072
2021,10101046,P21-004560
2021,10101047,P21-004854
2021,10101048,P21-002469
2021,10101049,P21-003863
2021,10101050,P21-003263
2021,10101051,P21-007442
2021,10101052,P21-000310
2021,10101053,P21-001117
2021,10111001,P21-005075
2021,10111002,P21-002255
2021,10111003,P21-004429
2021,10111004,P21-001484
2021,10111005,P21-003355
2021,10111006,P21-006462
2021,10111007,P21-003799
2021,10111008,P21-003452
2021,10111009,P21-008915
2021,10111010,P21-001781
2021,10111011,P21-005427
2021,10111012,P21-009394
2021,10111013,P21-006670
2021,10111014,P21-003426
2021,10111015,P21-003963
2021,10111016,P21-006562
2021,10111017,P21-004476
2021,10111018,P21-005744
2021,10111019,P21-003930
