학교ID,학교키
1001,SCH165
1002,SCH179
1003,SCH131
1004,SCH061
1005,SCH050
1006,SCH123
1007,SCH029
1008,SCH177
1009,SCH172
1010,SCH098
1011,SCH120
1012,SCH167
1013,SCH173
1014,SCH154
1015,SCH169
1016,SCH088
1017,SCH110
1019,SCH178
1020,SCH107
1021,SCH101
1022,SCH020
1023,SCH170
1024,SCH112
1025,SCH023
1026,SCH063
1027,SCH159
1028,SCH150
1029,SCH127
1030,SCH151
1031,SCH010
1032,SCH093
1033,SCH171
1034,SCH121
1035,SCH052
1036,SCH144
1037,SCH117
1038,SCH051
1039,SCH152
1040,SCH099
1041,SCH065
1042,SCH036
1043,SCH003
1044,SCH040
1045,SCH153
1046,SCH073
1047,SCH019
1048,SCH168
1049,SCH079
1050,SCH022
1051,SCH139
1052,SCH108
1053,SCH136
1054,SCH162
1055,SCH006
1056,SCH077
1057,SCH100
1058,SCH053
1059,SCH114
1060,SCH109
1061,SCH013
1062,SCH038
1063,SCH115
1064,SCH070
1065,SCH166
1066,SCH092
1067,SCH033
1068,SCH116
1069,SCH034
1070,SCH161
1071,SCH082
1072,SCH017
1073,SCH085
1074,SCH047
1075,SCH111
1076,SCH128
1077,SCH145
1078,SCH080
1079,SCH119
1080,SCH007
1081,SCH138
1082,SCH076
1083,SCH124
1084,SCH037
1085,SCH094
1086,SCH011
1087,SCH103
1088,SCH147
1089,SCH122
1090,SCH041
1091,SCH089
1092,SCH027
1093,SCH129
1094,SCH018
1095,SCH059
1096,SCH014
1097,SCH078
1098,SCH163
1099,SCH091
1100,SCH005
1101,SCH071
1102,SCH044
1103,SCH125
1104,SCH105
1105,SCH176
1106,SCH021
1107,SCH095
1108,SCH148
1109,SCH135
1110,SCH084
1111,SCH039
1112,SCH175
1113,SCH133
1114,SCH158
1115,SCH142
1116,SCH001
1117,SCH118
1118,SCH086
1119,SCH140
1120,SCH132
1121,SCH048
1122,SCH160
1123,SCH149
1124,SCH141
1125,SCH045
1126,SCH068
1127,SCH035
1128,SCH069
1129,SCH156
1130,SCH081
1131,SCH056
1132,SCH058
1133,SCH155
1134,SCH104
1135,SCH174
1137,SCH075
1138,SCH025
1139,SCH072
1140,SCH126
1141,SCH137
1142,SCH012
1143,SCH083
1144,SCH180
1145,SCH042
1146,SCH087
1147,SCH055
1148,SCH026
1149,SCH143
1150,SCH024
1151,SCH067
1152,SCH008
1153,SCH030
1154,SCH097
1155,SCH102
1156,SCH028
1157,SCH046
1158,SCH002
1159,SCH016
1160,SCH009
1161,SCH031
1162,SCH015
1163,SCH164
1164,SCH062
1165,SCH004
1166,SCH096
1167,SCH146
1168,SCH074
1169,SCH134
1170,SCH090
1171,SCH043
1172,SCH060
1173,SCH032
1174,SCH130
1175,SCH066
1176,SCH113
1177,SCH064
1178,SCH157
1179,SCH054
1180,SCH106
1181,SCH049
1182,SCH057
