indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,원영역,문항명,하위문항,지표명,var_2021,var_2025,연계판정,통계유형,선지수,척도최소,척도최대,척도최소라벨,척도최대라벨,긍정코드,역문항,시계열비교가능,주체간비교,확인필요,데이터이슈,응답기저,주의사항,출처
ST_PRIVED_TYPE_01,C07,교육격차·가정배경,S0702,사교육 참여,학생,여건>가정 특성,사교육 참여 유형,"1)국어, 영어, 수학 등 주요교과","사교육 참여 유형 - 1)국어, 영어, 수학 등 주요교과",Q10_1_1,STQ7_1_1,① 연계가능,binary,2→2,0.0,1.0,해당없음,참여,1.0,N,Y,,,,,"2주기 0의 라벨이 ""해당없음""이므로 미참여자와 무응답 구분 확인 필요",변수매칭_6_최종연계목록
ST_PRIVED_TYPE_02,C07,교육격차·가정배경,S0702,사교육 참여,학생,여건>가정 특성,사교육 참여 유형,2)영어를 제외한 외국어,사교육 참여 유형 - 2)영어를 제외한 외국어,Q10_1_2,STQ7_1_2,① 연계가능,binary,2→2,0.0,1.0,해당없음,참여,1.0,N,Y,,,,,항목·이분코딩 동일,변수매칭_6_최종연계목록
ST_PRIVED_TYPE_03,C07,교육격차·가정배경,S0702,사교육 참여,학생,여건>가정 특성,사교육 참여 유형,3)예체능,사교육 참여 유형 - 3)예체능,Q10_1_3,STQ7_1_3,① 연계가능,binary,2→2,0.0,1.0,해당없음,참여,1.0,N,Y,,,,,항목·이분코딩 동일,변수매칭_6_최종연계목록
ST_CULTURE_01,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,가족_1)과학관이나 박람회 관람,가족/친구 동반 문화 활동 - 가족_1)과학관이나 박람회 관람,Q9_가족_1,STQ8_1_1,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,"항목·4점 빈도 척도 동일(1주기 ""대면·비대면 포함"" 문구는 코로나 맥락 표기로 실질 동일)",변수매칭_6_최종연계목록
ST_CULTURE_02,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,가족_2)미술관이나 박물관 관람,가족/친구 동반 문화 활동 - 가족_2)미술관이나 박물관 관람,Q9_가족_2,STQ8_1_2,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_03,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,가족_3)공연이나 음악회 관람,가족/친구 동반 문화 활동 - 가족_3)공연이나 음악회 관람,Q9_가족_3,STQ8_1_3,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_04,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,가족_4)서점이나 도서관 방문,가족/친구 동반 문화 활동 - 가족_4)서점이나 도서관 방문,Q9_가족_4,STQ8_1_4,② 조건부 가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,조건부,,,,,2주기 값이 구조적으로 높을 수 있음. 증감 해석 시 주의,변수매칭_6_최종연계목록
ST_CULTURE_05,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,가족_5)기타,가족/친구 동반 문화 활동 - 가족_5)기타,Q9_가족_5,STQ8_1_5,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,기타 항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_06,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,친구_1)과학관이나 박람회 관람,가족/친구 동반 문화 활동 - 친구_1)과학관이나 박람회 관람,Q9_친구_1,STQ8_2_1,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_07,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,친구_2)미술관이나 박물관 관람,가족/친구 동반 문화 활동 - 친구_2)미술관이나 박물관 관람,Q9_친구_2,STQ8_2_2,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_08,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,친구_3)공연이나 음악회 관람,가족/친구 동반 문화 활동 - 친구_3)공연이나 음악회 관람,Q9_친구_3,STQ8_2_3,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,항목·척도 동일,변수매칭_6_최종연계목록
ST_CULTURE_09,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,친구_4)서점이나 도서관 방문,가족/친구 동반 문화 활동 - 친구_4)서점이나 도서관 방문,Q9_친구_4,STQ8_2_4,② 조건부 가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,조건부,,,,,"""서점에 같이 감"" → ""서점이나 도서관 방문""으로 대상 확장",변수매칭_6_최종연계목록
ST_CULTURE_10,C07,교육격차·가정배경,S0704,문화활동 경험,학생,여건>가정 특성,가족/친구 동반 문화 활동,친구_5)기타,가족/친구 동반 문화 활동 - 친구_5)기타,Q9_친구_5,STQ8_2_5,① 연계가능,likert,4→4,1.0,4.0,전혀 없음,5회 이상,,N,Y,,,,,기타 항목·척도 동일,변수매칭_6_최종연계목록
ST_MOTIV_01,C02,학업,S0201A,학습동기(외재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",Q11_1,STQ9_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일,변수매칭_6_최종연계목록
ST_MOTIV_02,C02,학업,S0201A,학습동기(외재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",Q11_2,STQ9_2,② 조건부 가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,조건부,,,,,문항 수준 비교보다 하위척도(외재적 동기) 평균 비교 권장,변수매칭_6_최종연계목록
ST_MOTIV_03,C02,학업,S0201A,학습동기(외재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",3)나는 부모님이 공부하라고 시키기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",Q11_3,STQ9_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,"""하라고 시키므로""→""공부하라고 시키기 때문에"" 표현만 변경",변수매칭_6_최종연계목록
ST_MOTIV_04,C02,학업,S0201A,학습동기(외재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",4)나는 선생님이 공부하라고 시키기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",Q11_4,STQ9_4,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,표현만 변경,변수매칭_6_최종연계목록
ST_MOTIV_05,C02,학업,S0201B,학습동기(내재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",5)나는 지식을 쌓는 것이 즐거우므로 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",Q11_5,STQ9_5,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_MOTIV_06,C02,학업,S0201B,학습동기(내재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",6)나는 공부하는 것이 재미있기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",Q11_6,STQ9_6,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_MOTIV_07,C02,학업,S0201B,학습동기(내재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",Q11_7,STQ9_7,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_MOTIV_08,C02,학업,S0201B,학습동기(내재적),학생,여건>학습 특성,"학습동기(1~4 외재적, 5~8 내재적)",8)나는 생각하는 것을 좋아하기 때문에 공부한다,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",Q11_8,STQ9_8,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_STRESS_01,C02,학업,S0204,학업스트레스,학생,여건>학습 특성,학업 스트레스,1)좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다,학업 스트레스 - 1)좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다,Q14_1,STQ10_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(문두 표현만 변경),변수매칭_6_최종연계목록
ST_STRESS_02,C02,학업,S0204,학업스트레스,학생,여건>학습 특성,학업 스트레스,"2)사교육(과외, 학원 등)을 받지 않으면 불안하다","학업 스트레스 - 2)사교육(과외, 학원 등)을 받지 않으면 불안하다",Q14_2,STQ10_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(문두 표현만 변경),변수매칭_6_최종연계목록
ST_STRESS_03,C02,학업,S0204,학업스트레스,학생,여건>학습 특성,학업 스트레스,3)원하는 학교에 진학해야 한다는 정신적 부담이 크다,학업 스트레스 - 3)원하는 학교에 진학해야 한다는 정신적 부담이 크다,Q14_3,STQ10_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(문두 표현만 변경),변수매칭_6_최종연계목록
ST_STRESS_04,C02,학업,S0204,학업스트레스,학생,여건>학습 특성,학업 스트레스,4)다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다,학업 스트레스 - 4)다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다,Q14_4,STQ10_4,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(문두 표현만 변경),변수매칭_6_최종연계목록
ST_STRATEGY_01,C02,학업,S0202A,학습전략(정교화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",Q12_1,STQ11_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_02,C02,학업,S0202A,학습전략(정교화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",Q12_2,STQ11_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_03,C02,학업,S0202A,학습전략(정교화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",Q12_3,STQ11_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_04,C02,학업,S0202A,학습전략(정교화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",Q12_4,STQ11_4,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_05,C02,학업,S0202B,학습전략(조직화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",Q12_5,STQ11_5,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_06,C02,학업,S0202B,학습전략(조직화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",6)공부한 내용은 내 방식대로 정리해 놓는다,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",Q12_6,STQ11_6,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_07,C02,학업,S0202B,학습전략(조직화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",7)중요한 내용은 따로 정리한다,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",Q12_7,STQ11_7,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_STRATEGY_08,C02,학업,S0202B,학습전략(조직화),학생,여건>학습 특성,"학습전략(1~4 정교화, 5~8 조직화)",8)공부할 때 개념들을 모아서 나름대로 관계를 정리해 본다,"학습전략(1~4 정교화, 5~8 조직화) - 8)공부할 때 개념들을 모아서 나름대로 관계를 정리해 본다",Q12_8,STQ11_8,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_01,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,여건>학습 특성,자기주도학습,"1)나는 알고 싶은 것이 있을 때, 그것을 어떻게 배워야 할지 알 수 있다","자기주도학습 - 1)나는 알고 싶은 것이 있을 때, 그것을 어떻게 배워야 할지 알 수 있다",Q13_1,STQ12_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_02,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,여건>학습 특성,자기주도학습,2)내가 알고 싶은 정보를 찾는 방법을 알고 있다,자기주도학습 - 2)내가 알고 싶은 정보를 찾는 방법을 알고 있다,Q13_2,STQ12_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_03,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,여건>학습 특성,자기주도학습,3)나는 사물에 관해 호기심을 갖고 있다,자기주도학습 - 3)나는 사물에 관해 호기심을 갖고 있다,Q13_3,STQ12_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_04,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,여건>학습 특성,자기주도학습,4)나는 어떤 일을 해내는 특별한 방법을 잘 생각해 낸다,자기주도학습 - 4)나는 어떤 일을 해내는 특별한 방법을 잘 생각해 낸다,Q13_4,STQ12_4,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_05,C02,학업,S0203B,자기주도학습(자기이해),학생,여건>학습 특성,자기주도학습,5)내가 무엇을 배우고 싶은지를 안다,자기주도학습 - 5)내가 무엇을 배우고 싶은지를 안다,Q13_5,STQ12_5,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_06,C02,학업,S0203B,자기주도학습(자기이해),학생,여건>학습 특성,자기주도학습,6)내 공부의 최종적인 책임은 내가 진다,자기주도학습 - 6)내 공부의 최종적인 책임은 내가 진다,Q13_6,STQ12_6,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_07,C02,학업,S0203B,자기주도학습(자기이해),학생,여건>학습 특성,자기주도학습,7)지금 공부가 잘 되고 있는지 아닌지를 판단할 수 있다,자기주도학습 - 7)지금 공부가 잘 되고 있는지 아닌지를 판단할 수 있다,Q13_7,STQ12_7,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_08,C02,학업,S0203B,자기주도학습(자기이해),학생,여건>학습 특성,자기주도학습,8)지금 공부하는 내용 중 부족한 부분을 언제 보충해야 할지 알고 있다,자기주도학습 - 8)지금 공부하는 내용 중 부족한 부분을 언제 보충해야 할지 알고 있다,Q13_8,STQ12_8,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_SDL_09,C02,학업,S0203B,자기주도학습(자기이해),학생,여건>학습 특성,자기주도학습,9)항상 새로운 것을 배우는 사람을 존경한다,자기주도학습 - 9)항상 새로운 것을 배우는 사람을 존경한다,Q13_9,STQ12_9,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(어미 미세 변경),변수매칭_6_최종연계목록
ST_GRADE_SELF_01,C02,학업,S0205,학업성취(주관),학생,여건>학습 특성,현재성적,현재 성적,현재성적 - 현재 성적,Q6,STQ13,② 조건부 가능,likert,5→5,1.0,5.0,아주 낮은 편,아주 높은 편,,N,조건부,,,,,앵커 제거로 응답 분포가 이동할 수 있음. 평균 비교 시 주의,변수매칭_6_최종연계목록
ST_ASPIRE_01,C10,진로·진학,S1001,교육포부,학생,과정>진로·진학,교육포부,교육포부,교육포부 - 교육포부,Q5,STQ16,① 연계가능,likert,6→6,1.0,6.0,고등학교 졸업,잘 모르겠다,,N,Y,학생–학부모 [B],,,,"""6)잘 모르겠다""를 결측 처리할지 사전 결정 필요(양 주기 동일 규칙 적용)",변수매칭_6_최종연계목록
ST_CLASS_01,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),1)나는 수업시간에 집중한다,수업(수업참여/교사수업진행/수업중평가) - 1)나는 수업시간에 집중한다,Q20_1,STQ19_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일(변수명만 재구조화),변수매칭_6_최종연계목록
ST_CLASS_02,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),2)나는 수업시간에 적극적으로 참여한다,수업(수업참여/교사수업진행/수업중평가) - 2)나는 수업시간에 적극적으로 참여한다,Q20_2,STQ19_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_CLASS_03,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),3)나는 수업시간에 흥미를 가지고 참여한다,수업(수업참여/교사수업진행/수업중평가) - 3)나는 수업시간에 흥미를 가지고 참여한다,Q20_3,STQ19_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_CLASS_04,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),1)선생님은 사전에 수업 준비를 철저히 하시는 편이다,수업(수업참여/교사수업진행/수업중평가) - 1)선생님은 사전에 수업 준비를 철저히 하시는 편이다,Q20_4,STQ20_1,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_CLASS_05,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),2)선생님은 흥미롭게 수업을 진행하신다,수업(수업참여/교사수업진행/수업중평가) - 2)선생님은 흥미롭게 수업을 진행하신다,Q20_5,STQ20_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_CLASS_06,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),3)선생님은 학생들의 수준에 맞게 가르치신다,수업(수업참여/교사수업진행/수업중평가) - 3)선생님은 학생들의 수준에 맞게 가르치신다,Q20_6,STQ20_3,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·척도 동일,변수매칭_6_최종연계목록
ST_CLASS_07,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),"1)선생님은 다양한 형태(논술형 평가, 토론, 보고서, 현장조사, 포트폴리오 등)로 평가를 하신다","수업(수업참여/교사수업진행/수업중평가) - 1)선생님은 다양한 형태(논술형 평가, 토론, 보고서, 현장조사, 포트폴리오 등)로 평가를 하신다",Q20_7,STQ22_1,② 조건부 가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,조건부,,,,,구인 범위 차이 유의,변수매칭_6_최종연계목록
ST_CLASS_08,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),2)선생님은 평가 결과를 바탕으로 나의 강점과 보완할 점을 알려주신다,수업(수업참여/교사수업진행/수업중평가) - 2)선생님은 평가 결과를 바탕으로 나의 강점과 보완할 점을 알려주신다,Q20_8,STQ22_2,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,"""장점과 단점""→""강점과 보완할 점"" 표현만 변경",변수매칭_6_최종연계목록
ST_CLASS_09,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,과정>교육활동,수업(수업참여/교사수업진행/수업중평가),3)선생님은 학생이 자신의 학습 과정을 점검하고 개선하는 기회를 제공하신다,수업(수업참여/교사수업진행/수업중평가) - 3)선생님은 학생이 자신의 학습 과정을 점검하고 개선하는 기회를 제공하신다,Q20_9,STQ22_3,③ 비교 불가,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,N,,★연계 불가 — 제외 권장,,,별개 문항으로 취급 권장,변수매칭_6_최종연계목록
ST_CLASS_SC_01,C06,수업·평가 혁신,S0601,학생중심수업,학생,과정>교육활동,수업활동(학생중심수업/협동수업),4)선생님은 학생들이 스스로 문제를 해결할 수 있도록 도와준다,수업활동(학생중심수업/협동수업) - 4)선생님은 학생들이 스스로 문제를 해결할 수 있도록 도와준다,Q22_1,STQ20_4,① 연계가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,Y,,,,,문항 내용·5점 척도 동일,변수매칭_6_최종연계목록
ST_CLASS_SC_02,C06,수업·평가 혁신,S0601,학생중심수업,학생,과정>교육활동,수업활동(학생중심수업/협동수업),5)선생님은 학생들이 스스로 자신의 학습목표를 설정할 수 있도록 도와준다,수업활동(학생중심수업/협동수업) - 5)선생님은 학생들이 스스로 자신의 학습목표를 설정할 수 있도록 도와준다,Q22_2,STQ20_5,② 조건부 가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,조건부,,,,,"""스스로 수업목표를 찾아낼 수 있도록"" → ""스스로 자신의 학습목표를 설정할 수 있도록"". 주체는 동일(교사)하나 대상 개념이 수업목표→학습목표로 변경",변수매칭_6_최종연계목록
ST_ASSESS_02,C06,수업·평가 혁신,S0603,수행평가,학생,과정>교육활동,(수행)평가,1)평가는 실력향상에 도움이 된다,(수행)평가 - 1)평가는 실력향상에 도움이 된다,Q21_2,STQ21_1,② 조건부 가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,조건부,,,,,구인 범위 차이 유의. 추세 비교 시 단서 표기,변수매칭_6_최종연계목록
ST_ASSESS_03,C06,수업·평가 혁신,S0603,수행평가,학생,과정>교육활동,(수행)평가,2)평가는 수업에 흥미를 가질 수 있도록 해준다,(수행)평가 - 2)평가는 수업에 흥미를 가질 수 있도록 해준다,Q21_3,STQ21_2,② 조건부 가능,likert,5→5,1.0,5.0,전혀그렇지않다,매우그렇다,,N,조건부,,,,,"대상이 ""수행평가""→""평가"" 전반으로 확대",변수매칭_6_최종연계목록
