조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2021,SCH165,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH179,1.0,2.0,1.0,중소도시,사립,남학교,Y,Y,Y
2021,SCH131,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH061,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH050,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH123,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH029,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH177,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH172,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH098,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH120,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH167,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH173,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH154,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH169,1.0,1.0,1.0,중소도시,공립,남학교,Y,Y,Y
2021,SCH088,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH110,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH178,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH107,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH101,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH020,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH170,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH112,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH023,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH063,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH159,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH150,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH127,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH151,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH010,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH093,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH171,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH121,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH052,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH144,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH117,2.0,2.0,1.0,읍면지역,사립,남학교,Y,Y,Y
2021,SCH051,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2021,SCH152,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH099,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH065,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH036,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
