조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,값_2021,값_2025,증감,증감률,변화방향,절대증감순위
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,59.89,72.09,12.2,20.37,증가,1
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,19.06,24.65,5.59,29.33,증가,2
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,71.68,66.44,-5.24,-7.31,감소,3
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,52.69,57.59,4.9,9.3,증가,4
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,26.87,30.94,4.07,15.15,증가,5
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,62.06,66.08,4.02,6.48,증가,6
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,79.31,75.31,-4.0,-5.04,감소,7
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,54.08,57.6,3.52,6.51,증가,8
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,61.7,65.21,3.51,5.69,증가,9
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,79.07,75.91,-3.16,-4.0,감소,10
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,63.76,66.86,3.1,4.86,증가,11
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,77.63,74.76,-2.87,-3.7,감소,12
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0704,문화활동 경험,학생,21.42,23.83,2.41,11.25,증가,13
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,72.38,70.13,-2.25,-3.11,감소,14
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,76.69,74.51,-2.18,-2.84,감소,15
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,61.24,63.39,2.15,3.51,증가,16
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,53.52,51.39,-2.13,-3.98,감소,17
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,53.99,56.06,2.07,3.83,증가,18
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,62.73,64.78,2.05,3.27,증가,19
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학생,66.28,68.12,1.84,2.78,증가,20
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,67.3,65.52,-1.78,-2.64,감소,21
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학부모,65.86,67.57,1.71,2.6,증가,22
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,52.04,53.73,1.69,3.25,증가,23
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,학생,60.68,62.33,1.65,2.72,증가,24
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,67.79,69.24,1.45,2.14,증가,25
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,70.81,69.42,-1.39,-1.96,감소,26
경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,66.03,64.74,-1.29,-1.95,감소,27
경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,36.57,37.77,1.2,3.28,증가,28
경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,53.59,54.59,1.0,1.87,증가,29
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,72.09,71.21,-0.88,-1.22,감소,30
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,62.05,62.79,0.74,1.19,증가,31
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,교사,72.8,72.08,-0.72,-0.99,감소,32
경기학교교육실태조사,중학교,C11,교사 전문성,S1101B,교사 사기,교사,81.37,81.99,0.62,0.76,증가,33
경기학교교육실태조사,중학교,C08,참여·자치,S0803,교사 참여·의사결정,교사,72.61,73.06,0.45,0.62,증가,34
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학생,64.39,64.7,0.31,0.48,증가,35
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학생,47.3,47.05,-0.25,-0.53,감소,36
경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,59.37,59.13,-0.24,-0.4,감소,37
경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,48.46,48.67,0.21,0.43,증가,38
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,67.31,67.19,-0.12,-0.18,감소,39
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학부모,56.55,56.64,0.09,0.16,증가,40
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,64.08,64.09,0.01,0.02,증가,41
