조사명,학교급,indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,조사연도,주기,코드,응답수,비율,선지라벨
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2021,1주기,1.0,152,2.56,고등학교 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2021,1주기,2.0,480,8.07,2~3년제 대학 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2021,1주기,3.0,3710,62.37,4년제 대학 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2021,1주기,4.0,718,12.07,대학원 석사 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2021,1주기,5.0,888,14.93,대학원 박사 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2025,2주기,1.0,31,2.09,고등학교 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2025,2주기,2.0,93,6.28,2~3년제 대학 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2025,2주기,3.0,953,64.3,4년제 대학 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2025,2주기,4.0,207,13.97,대학원 석사 졸업
경기학교교육실태조사,중학교,PR_ASPIRE_01,C10,진로·진학,S1001,교육포부,학부모,교육포부 - 교육포부,2025,2주기,5.0,198,13.36,대학원 박사 졸업
경기학교교육실태조사,중학교,PR_CAREER_01,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,1.0,4223,71.0,있다
경기학교교육실태조사,중학교,PR_CAREER_01,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,2.0,1725,29.0,없다
경기학교교육실태조사,중학교,PR_CAREER_01,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,1.0,1083,73.08,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_01,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,2.0,399,26.92,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_02,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,1.0,882,14.83,있다
경기학교교육실태조사,중학교,PR_CAREER_02,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,2.0,5066,85.17,없다
경기학교교육실태조사,중학교,PR_CAREER_02,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,1.0,341,23.01,경험여부 있다
