조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,조사연도,주기,지표수,평균환산100,평균응답수
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,2021,1주기,4,19.1,8884.0
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,2025,2주기,4,24.91,5173.0
경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,2021,1주기,4,36.56,8884.0
경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,2025,2주기,4,38.12,5173.0
경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,2021,1주기,4,53.71,8884.0
경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,2025,2주기,4,54.92,5173.0
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,2021,1주기,4,52.0,8884.0
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,2025,2주기,4,53.7,5173.0
경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,2021,1주기,4,59.46,8884.0
경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,2025,2주기,4,58.92,5173.0
경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,2021,1주기,5,66.05,8884.0
경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,2025,2주기,5,64.66,5173.0
경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,2021,1주기,4,48.78,8884.0
경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,2025,2주기,4,48.8,5173.0
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,2021,1주기,1,54.26,8884.0
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,2025,2주기,1,55.83,5173.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,2021,1주기,12,63.07,8884.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,2025,2주기,12,64.94,5173.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,2021,1주기,4,67.31,8884.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,2025,2주기,4,65.2,5173.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,2021,1주기,4,67.12,5948.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학생,2021,1주기,7,60.17,8884.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,2025,2주기,4,66.72,1482.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학생,2025,2주기,7,62.53,5173.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,교사,2021,1주기,3,72.79,5189.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,2021,1주기,2,63.81,8884.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,교사,2025,2주기,3,71.84,2800.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,2025,2주기,2,66.41,5173.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,2021,1주기,3,61.99,8884.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,2025,2주기,3,63.11,5173.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,2021,1주기,3,67.67,8884.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,2025,2주기,3,69.0,5173.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,2021,1주기,3,79.34,5189.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,2021,1주기,3,53.73,8884.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,2025,2주기,3,75.79,2800.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,2025,2주기,3,57.44,5173.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,2021,1주기,2,64.02,8884.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,2025,2주기,2,63.97,5173.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,2021,1주기,1,62.17,5948.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,2025,2주기,1,66.87,1482.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0704,문화활동 경험,학생,2021,1주기,10,20.5,8884.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0704,문화활동 경험,학생,2025,2주기,10,24.05,4118.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,2021,1주기,8,79.22,5189.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,학생,2021,1주기,4,60.58,8884.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,2025,2주기,8,74.87,2800.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,학생,2025,2주기,4,62.03,5173.0
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,2021,1주기,4,52.39,2327.0
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,2025,2주기,4,57.69,831.0
경기학교교육실태조사,중학교,C08,참여·자치,S0803,교사 참여·의사결정,교사,2021,1주기,7,72.36,5189.0
경기학교교육실태조사,중학교,C08,참여·자치,S0803,교사 참여·의사결정,교사,2025,2주기,7,72.05,2800.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,2021,1주기,6,71.19,5189.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학부모,2021,1주기,1,65.74,5948.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학생,2021,1주기,1,63.97,8884.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,2025,2주기,6,64.97,2800.0
