조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2025,학부모,10011006,1001,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10011023,1001,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10011026,1001,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10011028,1001,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10011030,1001,PR_EDU_COST_01,,,1.0
2025,학부모,10011037,1001,PR_EDU_COST_01,,,1.0
2025,학부모,10011039,1001,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10031062,1003,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10051065,1005,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10051068,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051072,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051078,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051085,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051087,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051088,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051092,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051093,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051094,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051096,1005,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10051097,1005,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10051098,1005,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10051099,1005,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10051102,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051104,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051106,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051107,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051109,1005,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10051110,1005,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10051111,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051112,1005,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10051115,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10051117,1005,PR_EDU_COST_01,,,1.0
2025,학부모,10061120,1006,PR_EDU_COST_01,,,1.0
2025,학부모,10061135,1006,PR_EDU_COST_01,,,1.0
2025,학부모,10061137,1006,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10061151,1006,PR_EDU_COST_01,,,1.0
2025,학부모,10071185,1007,PR_EDU_COST_01,,,1.0
2025,학부모,10071192,1007,PR_EDU_COST_01,,,1.0
2025,학부모,10071212,1007,PR_EDU_COST_01,,,1.0
2025,학부모,10091272,1009,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10091273,1009,PR_EDU_COST_01,,,1.0
2025,학부모,10091277,1009,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10091278,1009,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10091288,1009,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10091289,1009,PR_EDU_COST_01,,,1.0
2025,학부모,10091299,1009,PR_EDU_COST_01,,,1.0
2025,학부모,10091302,1009,PR_EDU_COST_01,,,1.0
