조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2021,교사,1001001,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001002,1001,TR_EFFICACY_01,1.0,,1.0
2021,교사,1001003,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001004,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001005,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001006,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001007,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001008,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001009,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001010,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001011,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001012,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001013,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001014,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001015,1001,TR_EFFICACY_01,3.0,,1.0
2021,교사,1001016,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001017,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001018,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001019,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001020,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001021,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001022,1001,TR_EFFICACY_01,5.0,,1.0
2021,교사,1001023,1001,TR_EFFICACY_01,2.0,,1.0
2021,교사,1001024,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001025,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001026,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1001027,1001,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002001,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002002,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002003,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002004,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002005,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002006,1002,TR_EFFICACY_01,5.0,,1.0
2021,교사,1002007,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002008,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002009,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002010,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002011,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002012,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002013,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002014,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002015,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002016,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002017,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002018,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002019,1002,TR_EFFICACY_01,5.0,,1.0
2021,교사,1002020,1002,TR_EFFICACY_01,5.0,,1.0
2021,교사,1002021,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002022,1002,TR_EFFICACY_01,5.0,,1.0
2021,교사,1002023,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002024,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002025,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002026,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1002027,1002,TR_EFFICACY_01,4.0,,1.0
2021,교사,1003001,1003,TR_EFFICACY_01,4.0,,2.0
2021,교사,1003002,1003,TR_EFFICACY_01,4.0,,2.0
2021,교사,1003003,1003,TR_EFFICACY_01,4.0,,2.0
2021,교사,1003004,1003,TR_EFFICACY_01,5.0,,2.0
2021,교사,1003005,1003,TR_EFFICACY_01,4.0,,2.0
2021,교사,1003006,1003,TR_EFFICACY_01,5.0,,2.0
