indicator_id,대분류,소주제,응답주체,지표명,통계유형,시계열비교가능,역문항,데이터이슈,응답기저,주의사항,결측수_2021,결측수_2025,응답수_2021,응답수_2025,평균_2021,평균_2025
ST_PRIVED_TYPE_01,교육격차·가정배경,사교육 참여,학생,"사교육 참여 유형 - 1)국어, 영어, 수학 등 주요교과",binary,Y,N,,,"2주기 0의 라벨이 ""해당없음""이므로 미참여자와 무응답 구분 확인 필요",0.0,0.0,8884.0,5173.0,0.7652,0.7572
ST_PRIVED_TYPE_02,교육격차·가정배경,사교육 참여,학생,사교육 참여 유형 - 2)영어를 제외한 외국어,binary,Y,N,,,항목·이분코딩 동일,0.0,0.0,8884.0,5173.0,0.0595,0.0406
ST_PRIVED_TYPE_03,교육격차·가정배경,사교육 참여,학생,사교육 참여 유형 - 3)예체능,binary,Y,N,,,항목·이분코딩 동일,0.0,0.0,8884.0,5173.0,0.1862,0.167
ST_CULTURE_01,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 가족_1)과학관이나 박람회 관람,likert,Y,N,,,"항목·4점 빈도 척도 동일(1주기 ""대면·비대면 포함"" 문구는 코로나 맥락 표기로 실질 동일)",0.0,1055.0,8884.0,4118.0,1.4396,1.4961
ST_CULTURE_02,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 가족_2)미술관이나 박물관 관람,likert,Y,N,,,항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.5223,1.6224
ST_CULTURE_03,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 가족_3)공연이나 음악회 관람,likert,Y,N,,,항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.5427,1.7256
ST_CULTURE_04,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 가족_4)서점이나 도서관 방문,likert,조건부,N,,,2주기 값이 구조적으로 높을 수 있음. 증감 해석 시 주의,0.0,1055.0,8884.0,4118.0,1.9645,2.5029
ST_CULTURE_05,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 가족_5)기타,likert,Y,N,,,기타 항목·척도 동일,0.0,1055.0,8884.0,4118.0,2.0343,1.7171
ST_CULTURE_06,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 친구_1)과학관이나 박람회 관람,likert,Y,N,,,항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.2125,1.255
ST_CULTURE_07,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 친구_2)미술관이나 박물관 관람,likert,Y,N,,,항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.2578,1.3167
ST_CULTURE_08,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 친구_3)공연이나 음악회 관람,likert,Y,N,,,항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.4141,1.5918
ST_CULTURE_09,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 친구_4)서점이나 도서관 방문,likert,조건부,N,,,"""서점에 같이 감"" → ""서점이나 도서관 방문""으로 대상 확장",0.0,1055.0,8884.0,4118.0,1.7653,2.2989
ST_CULTURE_10,교육격차·가정배경,문화활동 경험,학생,가족/친구 동반 문화 활동 - 친구_5)기타,likert,Y,N,,,기타 항목·척도 동일,0.0,1055.0,8884.0,4118.0,1.9967,1.6889
ST_MOTIV_01,학업,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,N,,,문항 내용·5점 척도 동일,0.0,0.0,8884.0,5173.0,1.8727,2.0037
ST_MOTIV_02,학업,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,N,,,문항 수준 비교보다 하위척도(외재적 동기) 평균 비교 권장,0.0,0.0,8884.0,5173.0,1.437,1.8397
ST_MOTIV_03,학업,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,N,,,"""하라고 시키므로""→""공부하라고 시키기 때문에"" 표현만 변경",0.0,0.0,8884.0,5173.0,2.0063,2.1724
ST_MOTIV_04,학업,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,N,,,표현만 변경,0.0,0.0,8884.0,5173.0,1.7396,1.9704
ST_MOTIV_05,학업,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,2.585,2.6172
ST_MOTIV_06,학업,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,2.3341,2.3837
ST_MOTIV_07,학업,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,2.5191,2.5966
ST_MOTIV_08,학업,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,2.4116,2.502
ST_STRESS_01,학업,학업스트레스,학생,학업 스트레스 - 1)좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다,likert,Y,N,,,문항 내용·5점 척도 동일(문두 표현만 변경),0.0,0.0,8884.0,5173.0,3.1398,3.1007
ST_STRESS_02,학업,학업스트레스,학생,"학업 스트레스 - 2)사교육(과외, 학원 등)을 받지 않으면 불안하다",likert,Y,N,,,문항 내용·5점 척도 동일(문두 표현만 변경),0.0,0.0,8884.0,5173.0,2.8047,2.8042
ST_STRESS_03,학업,학업스트레스,학생,학업 스트레스 - 3)원하는 학교에 진학해야 한다는 정신적 부담이 크다,likert,Y,N,,,문항 내용·5점 척도 동일(문두 표현만 변경),0.0,0.0,8884.0,5173.0,2.9006,2.8848
ST_STRESS_04,학업,학업스트레스,학생,학업 스트레스 - 4)다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다,likert,Y,N,,,문항 내용·5점 척도 동일(문두 표현만 변경),0.0,0.0,8884.0,5173.0,2.9588,3.0186
ST_STRATEGY_01,학업,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,2.977,3.1315
ST_STRATEGY_02,학업,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,2.9587,2.9532
ST_STRATEGY_03,학업,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.5734,3.5683
ST_STRATEGY_04,학업,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.0844,3.1342
ST_STRATEGY_05,학업,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,2.8949,2.9981
ST_STRATEGY_06,학업,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.1986,3.2579
ST_STRATEGY_07,학업,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.2436,3.3018
ST_STRATEGY_08,학업,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 8)공부할 때 개념들을 모아서 나름대로 관계를 정리해 본다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,2.9837,3.0342
ST_SDL_01,학업,자기주도학습(주도성·창의성),학생,"자기주도학습 - 1)나는 알고 싶은 것이 있을 때, 그것을 어떻게 배워야 할지 알 수 있다",likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.3112,3.3313
ST_SDL_02,학업,자기주도학습(주도성·창의성),학생,자기주도학습 - 2)내가 알고 싶은 정보를 찾는 방법을 알고 있다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.6888,3.6797
ST_SDL_03,학업,자기주도학습(주도성·창의성),학생,자기주도학습 - 3)나는 사물에 관해 호기심을 갖고 있다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.3018,3.2126
ST_SDL_04,학업,자기주도학습(주도성·창의성),학생,자기주도학습 - 4)나는 어떤 일을 해내는 특별한 방법을 잘 생각해 낸다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.2118,3.203
ST_SDL_05,학업,자기주도학습(자기이해),학생,자기주도학습 - 5)내가 무엇을 배우고 싶은지를 안다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.5429,3.4493
ST_SDL_06,학업,자기주도학습(자기이해),학생,자기주도학습 - 6)내 공부의 최종적인 책임은 내가 진다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.885,3.866
ST_SDL_07,학업,자기주도학습(자기이해),학생,자기주도학습 - 7)지금 공부가 잘 되고 있는지 아닌지를 판단할 수 있다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.6387,3.4786
ST_SDL_08,학업,자기주도학습(자기이해),학생,자기주도학습 - 8)지금 공부하는 내용 중 부족한 부분을 언제 보충해야 할지 알고 있다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.3745,3.3279
ST_SDL_09,학업,자기주도학습(자기이해),학생,자기주도학습 - 9)항상 새로운 것을 배우는 사람을 존경한다,likert,Y,N,,,문항 내용·5점 척도 동일(어미 미세 변경),0.0,0.0,8884.0,5173.0,3.7695,3.8096
ST_GRADE_SELF_01,학업,학업성취(주관),학생,현재성적 - 현재 성적,likert,조건부,N,,,앵커 제거로 응답 분포가 이동할 수 있음. 평균 비교 시 주의,0.0,0.0,8884.0,5173.0,3.1703,3.2333
ST_ASPIRE_01,진로·진학,교육포부,학생,교육포부 - 교육포부,likert,Y,N,,,"""6)잘 모르겠다""를 결측 처리할지 사전 결정 필요(양 주기 동일 규칙 적용)",0.0,0.0,8884.0,5173.0,3.3721,3.3783
ST_CLASS_01,수업·평가 혁신,수업태도·참여,학생,수업(수업참여/교사수업진행/수업중평가) - 1)나는 수업시간에 집중한다,likert,Y,N,,,문항 내용·5점 척도 동일(변수명만 재구조화),0.0,0.0,8884.0,5173.0,3.6112,3.6855
ST_CLASS_02,수업·평가 혁신,수업태도·참여,학생,수업(수업참여/교사수업진행/수업중평가) - 2)나는 수업시간에 적극적으로 참여한다,likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,3.4498,3.4839
ST_CLASS_03,수업·평가 혁신,수업태도·참여,학생,수업(수업참여/교사수업진행/수업중평가) - 3)나는 수업시간에 흥미를 가지고 참여한다,likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,3.3775,3.4032
ST_CLASS_04,수업·평가 혁신,교사 수업 진행,학생,수업(수업참여/교사수업진행/수업중평가) - 1)선생님은 사전에 수업 준비를 철저히 하시는 편이다,likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,3.804,3.8635
ST_CLASS_05,수업·평가 혁신,교사 수업 진행,학생,수업(수업참여/교사수업진행/수업중평가) - 2)선생님은 흥미롭게 수업을 진행하신다,likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,3.5834,3.6147
ST_CLASS_06,수업·평가 혁신,교사 수업 진행,학생,수업(수업참여/교사수업진행/수업중평가) - 3)선생님은 학생들의 수준에 맞게 가르치신다,likert,Y,N,,,문항 내용·척도 동일,0.0,0.0,8884.0,5173.0,3.7331,3.8011
ST_CLASS_07,수업·평가 혁신,수업 중 평가(학생),학생,"수업(수업참여/교사수업진행/수업중평가) - 1)선생님은 다양한 형태(논술형 평가, 토론, 보고서, 현장조사, 포트폴리오 등)로 평가를 하신다",likert,조건부,N,,,구인 범위 차이 유의,0.0,0.0,8884.0,5173.0,3.9726,3.8347
ST_CLASS_08,수업·평가 혁신,수업 중 평가(학생),학생,수업(수업참여/교사수업진행/수업중평가) - 2)선생님은 평가 결과를 바탕으로 나의 강점과 보완할 점을 알려주신다,likert,Y,N,,,"""장점과 단점""→""강점과 보완할 점"" 표현만 변경",0.0,0.0,8884.0,5173.0,3.1489,3.2826
ST_CLASS_09,수업·평가 혁신,수업 중 평가(학생),학생,수업(수업참여/교사수업진행/수업중평가) - 3)선생님은 학생이 자신의 학습 과정을 점검하고 개선하는 기회를 제공하신다,likert,N,N,,,별개 문항으로 취급 권장,0.0,0.0,8884.0,5173.0,3.3793,3.4444
ST_CLASS_SC_01,수업·평가 혁신,학생중심수업,학생,수업활동(학생중심수업/협동수업) - 4)선생님은 학생들이 스스로 문제를 해결할 수 있도록 도와준다,likert,Y,N,,,문항 내용·5점 척도 동일,0.0,0.0,8884.0,5173.0,3.6036,3.728
ST_CLASS_SC_02,수업·평가 혁신,학생중심수업,학생,수업활동(학생중심수업/협동수업) - 5)선생님은 학생들이 스스로 자신의 학습목표를 설정할 수 있도록 도와준다,likert,조건부,N,,,"""스스로 수업목표를 찾아낼 수 있도록"" → ""스스로 자신의 학습목표를 설정할 수 있도록"". 주체는 동일(교사)하나 대상 개념이 수업목표→학습목표로 변경",0.0,0.0,8884.0,5173.0,3.5009,3.5853
ST_ASSESS_02,수업·평가 혁신,수행평가,학생,(수행)평가 - 1)평가는 실력향상에 도움이 된다,likert,조건부,N,,,구인 범위 차이 유의. 추세 비교 시 단서 표기,0.0,0.0,8884.0,5173.0,3.2042,3.4315
ST_ASSESS_03,수업·평가 혁신,수행평가,학생,(수행)평가 - 2)평가는 수업에 흥미를 가질 수 있도록 해준다,likert,조건부,N,,,"대상이 ""수행평가""→""평가"" 전반으로 확대",0.0,0.0,8884.0,5173.0,2.7084,2.9416
ST_ASSESS_04,수업·평가 혁신,수행평가,학생,(수행)평가 - 3)평가 결과는 대체적으로 공정하다,likert,조건부,N,,,"대상이 ""수행평가""→""평가"" 전반으로 확대",0.0,0.0,8884.0,5173.0,3.5355,3.5198
ST_DIGI_EDU_01,디지털 리터러시,디지털 기기 활용 교육,학생,"디지털 기기 활용 교육(구:디지털 리터러시 활용 교육) - 1)나는 학교에서 디지털 기기(PC, 스마트기기 등)를 활용한 온라인 쌍방향 소통 방법을 배운 적이 있다",likert,조건부,N,,,참조기간 차이로 2주기 값이 낮게 나올 수 있음. ★설문지 확인 권장,0.0,0.0,8884.0,5173.0,3.8844,3.49
ST_DIGI_EDU_02,디지털 리터러시,디지털 기기 활용 교육,학생,"디지털 기기 활용 교육(구:디지털 리터러시 활용 교육) - 2)나는 학교에서 디지털 기기(PC, 테블릿 등)에서 필요한 정보를 읽고 선택하는 방법을 배운 적이 있다",likert,조건부,N,,,"항목 내용 동일하나 참조기간(1주기 ""최근 3년간"") 차이 존재",0.0,0.0,8884.0,5173.0,3.5776,3.5788
