조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,조사연도,주기,지표수,평균환산100,평균응답수
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,2021,1주기,4,19.06,5923.0
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,2025,2주기,4,24.65,3449.0
경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,2021,1주기,4,36.57,5923.0
경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,2025,2주기,4,37.77,3449.0
경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,2021,1주기,4,53.59,5923.0
경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,2025,2주기,4,54.59,3449.0
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,2021,1주기,4,52.04,5923.0
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,2025,2주기,4,53.73,3449.0
경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,2021,1주기,4,59.37,5923.0
경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,2025,2주기,4,59.13,3449.0
경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,2021,1주기,5,66.03,5923.0
경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,2025,2주기,5,64.74,3449.0
경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,2021,1주기,4,48.46,5923.0
경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,2025,2주기,4,48.67,3449.0
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,2021,1주기,1,53.99,5923.0
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,2025,2주기,1,56.06,3449.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,2021,1주기,12,62.73,5923.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,2025,2주기,12,64.78,3449.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,2021,1주기,4,67.3,5923.0
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,2025,2주기,4,65.52,3449.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,2021,1주기,4,67.31,3965.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학생,2021,1주기,6,66.28,5923.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,2025,2주기,4,67.19,988.0
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학생,2025,2주기,6,68.12,3449.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,교사,2021,1주기,3,72.8,3459.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,2021,1주기,2,63.76,5923.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,교사,2025,2주기,3,72.08,1867.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,2025,2주기,2,66.86,3449.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,2021,1주기,3,62.05,5923.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602A,수업태도·참여,학생,2025,2주기,3,62.79,3449.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,2021,1주기,3,67.79,5923.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0602B,교사 수업 진행,학생,2025,2주기,3,69.24,3449.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,2021,1주기,3,79.07,3459.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,2021,1주기,3,54.08,5923.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,2025,2주기,3,75.91,1867.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,2025,2주기,3,57.6,3449.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,2021,1주기,2,64.08,5923.0
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생,2025,2주기,2,64.09,3449.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,2021,1주기,1,62.06,3965.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,2025,2주기,1,66.08,988.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0704,문화활동 경험,학생,2021,1주기,10,21.42,4761.0
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0704,문화활동 경험,학생,2025,2주기,10,23.83,2745.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,2021,1주기,8,79.31,3459.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,학생,2021,1주기,4,60.68,5923.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,2025,2주기,8,75.31,1867.0
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,학생,2025,2주기,4,62.33,3449.0
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,2021,1주기,4,52.69,1551.0
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,2025,2주기,4,57.59,554.0
경기학교교육실태조사,중학교,C08,참여·자치,S0803,교사 참여·의사결정,교사,2021,1주기,7,72.61,3459.0
경기학교교육실태조사,중학교,C08,참여·자치,S0803,교사 참여·의사결정,교사,2025,2주기,7,73.06,1867.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,2021,1주기,6,71.68,3459.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학부모,2021,1주기,1,65.86,3965.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학생,2021,1주기,1,64.39,5923.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,2025,2주기,6,66.44,1867.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학부모,2025,2주기,1,67.57,988.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학생,2025,2주기,1,64.7,3449.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,2021,1주기,4,72.09,3459.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,2021,1주기,10,61.24,3965.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,2021,1주기,6,61.7,5923.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,2025,2주기,4,71.21,1867.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,2025,2주기,10,63.39,988.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,2025,2주기,6,65.21,3449.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학부모,2021,1주기,1,56.55,3965.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학생,2021,1주기,1,47.3,5923.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학부모,2025,2주기,1,56.64,988.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학생,2025,2주기,1,47.05,3449.0
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,2021,1주기,9,59.89,1698.0
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,2025,2주기,9,72.09,540.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,2021,1주기,7,77.63,3459.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,2025,2주기,7,74.76,1867.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101B,교사 사기,교사,2021,1주기,2,81.37,3459.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101B,교사 사기,교사,2025,2주기,2,81.99,1867.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,2021,1주기,15,53.52,3459.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,2025,2주기,15,51.39,1867.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,2021,1주기,6,26.87,3459.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,2025,2주기,6,30.94,1867.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,2021,1주기,4,76.69,3459.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,2025,2주기,4,74.51,1867.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,2021,1주기,6,70.81,3459.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,2025,2주기,6,69.42,1867.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,2021,1주기,5,72.38,3459.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,2025,2주기,5,70.13,1867.0
