조사연도,학교ID,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답,학교응답,학생수
2021,1001,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,272.0
2021,1002,1.0,2.0,1.0,중소도시,사립,남학교,Y,Y,Y,Y,378.0
2021,1003,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,72.0
2021,1004,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,1002.0
2021,1005,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,652.0
2021,1006,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,753.0
2021,1007,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,399.0
2021,1008,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,343.0
2021,1009,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,359.0
2021,1010,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,690.0
2021,1011,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,253.0
2021,1012,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y,Y,651.0
2021,1013,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,451.0
2021,1014,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,344.0
2021,1015,1.0,1.0,1.0,중소도시,공립,남학교,Y,Y,Y,Y,763.0
2021,1016,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,543.0
2021,1017,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,73.0
2021,1019,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,587.0
2021,1020,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,195.0
2021,1021,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,1175.0
2021,1022,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,797.0
2021,1023,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,440.0
2021,1024,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,674.0
2021,1025,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,1122.0
2021,1026,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,796.0
2021,1027,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,958.0
2021,1028,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,653.0
2021,1029,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,523.0
2021,1030,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y,Y,71.0
2021,1031,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,932.0
2021,1032,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,490.0
2021,1033,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,184.0
2021,1034,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,450.0
2021,1035,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,912.0
2021,1036,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,964.0
2021,1037,2.0,2.0,1.0,읍면지역,사립,남학교,Y,Y,Y,Y,60.0
2021,1038,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y,Y,632.0
2021,1039,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,478.0
2021,1040,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y,Y,629.0
2021,1041,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,997.0
2021,1042,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,375.0
2021,1043,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y,Y,827.0
