대분류코드,대분류,소주제코드,소주제,응답주체
C01,학생성장,S0101,역량점수,학생
C02,학업,S0201A,학습동기(외재적),학생
C02,학업,S0201B,학습동기(내재적),학생
C02,학업,S0202A,학습전략(정교화),학생
C02,학업,S0202B,학습전략(조직화),학생
C02,학업,S0203A,자기주도학습(주도성·창의성),학생
C02,학업,S0203B,자기주도학습(자기이해),학생
C02,학업,S0204,학업스트레스,학생
C02,학업,S0205,학업성취(주관),학생
C03,디지털 리터러시,S0301,디지털 리터러시,학생
C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생
C03,디지털 리터러시,S0303,교사 디지털 활용 역량,교사
C04,학교생활·관계,S0401,또래·교사 관계,학생
C04,학교생활·관계,S0401,또래·교사 관계,학부모
C05,학교안전,S0501,학교폭력 및 비행 발생,학교
C05,학교안전,S0502,학교안전교육 실시 횟수,학교
C06,수업·평가 혁신,S0601,학생중심수업,학생
C06,수업·평가 혁신,S0601,학생중심수업,교사
C06,수업·평가 혁신,S0602A,수업태도·참여,학생
C06,수업·평가 혁신,S0602B,교사 수업 진행,학생
C06,수업·평가 혁신,S0603,수행평가,학생
C06,수업·평가 혁신,S0603,수행평가,교사
C06,수업·평가 혁신,S0603A,수업 중 평가(학생),학생
C07,교육격차·가정배경,S0701,교육비·사교육비,학부모
C07,교육격차·가정배경,S0702,사교육 참여,학생
C07,교육격차·가정배경,S0703,가정 내 대화,학부모
C08,참여·자치,S0801,학생자치,학생
C08,참여·자치,S0801,학생자치,교사
C08,참여·자치,S0802,학부모 참여,학부모
C08,참여·자치,S0803,교사 참여·의사결정,교사
C09,만족도,S0901,전반적 만족도,학생
C09,만족도,S0901,전반적 만족도,학부모
C09,만족도,S0901,전반적 만족도,교사
C09,만족도,S0902,세부 만족도,학생
C09,만족도,S0902,세부 만족도,학부모
C09,만족도,S0902,세부 만족도,교사
C10,진로·진학,S1001,교육포부,학생
C10,진로·진학,S1001,교육포부,학부모
C10,진로·진학,S1002,진로·진학 준비,학부모
C11,교사 전문성,S1101A,교사효능감,교사
C11,교사 전문성,S1101B,교사 사기,교사
C11,교사 전문성,S1102,동료 협력,교사
C11,교사 전문성,S1103,교사 연수,교사
C12,학교풍토·리더십,S1201,학교장 리더십,교사
C12,학교풍토·리더십,S1202,민주적 학교문화,교사
C12,학교풍토·리더십,S1203,지역사회 연계,교사
