indicator_id,조사연도,코드,라벨
ST_PRIVED_TYPE_01,2021,0.0,아니오
ST_PRIVED_TYPE_01,2021,1.0,예
ST_PRIVED_TYPE_01,2025,0.0,해당없음
ST_PRIVED_TYPE_01,2025,1.0,참여
ST_PRIVED_TYPE_02,2021,0.0,아니오
ST_PRIVED_TYPE_02,2021,1.0,예
ST_PRIVED_TYPE_02,2025,0.0,해당없음
ST_PRIVED_TYPE_02,2025,1.0,참여
ST_PRIVED_TYPE_03,2021,0.0,아니오
ST_PRIVED_TYPE_03,2021,1.0,예
ST_PRIVED_TYPE_03,2025,0.0,해당없음
ST_PRIVED_TYPE_03,2025,1.0,참여
ST_CULTURE_01,2021,1.0,전혀 없음
ST_CULTURE_01,2021,2.0,1~2회
ST_CULTURE_01,2021,3.0,3~4회
ST_CULTURE_01,2021,4.0,5회 이상
ST_CULTURE_01,2025,1.0,전혀 없음
ST_CULTURE_01,2025,2.0,1-2회
ST_CULTURE_01,2025,3.0,3-4회
ST_CULTURE_01,2025,4.0,5회 이상
ST_CULTURE_02,2021,1.0,전혀 없음
ST_CULTURE_02,2021,2.0,1~2회
ST_CULTURE_02,2021,3.0,3~4회
ST_CULTURE_02,2021,4.0,5회 이상
ST_CULTURE_02,2025,1.0,전혀 없음
ST_CULTURE_02,2025,2.0,1-2회
ST_CULTURE_02,2025,3.0,3-4회
ST_CULTURE_02,2025,4.0,5회 이상
ST_CULTURE_03,2021,1.0,전혀 없음
ST_CULTURE_03,2021,2.0,1~2회
ST_CULTURE_03,2021,3.0,3~4회
ST_CULTURE_03,2021,4.0,5회 이상
ST_CULTURE_03,2025,1.0,전혀 없음
ST_CULTURE_03,2025,2.0,1-2회
ST_CULTURE_03,2025,3.0,3-4회
ST_CULTURE_03,2025,4.0,5회 이상
ST_CULTURE_04,2021,1.0,전혀 없음
ST_CULTURE_04,2021,2.0,1~2회
ST_CULTURE_04,2021,3.0,3~4회
ST_CULTURE_04,2021,4.0,5회 이상
ST_CULTURE_04,2025,1.0,전혀 없음
ST_CULTURE_04,2025,2.0,1-2회
ST_CULTURE_04,2025,3.0,3-4회
ST_CULTURE_04,2025,4.0,5회 이상
ST_CULTURE_05,2021,1.0,전혀 없음
ST_CULTURE_05,2021,2.0,1~2회
ST_CULTURE_05,2021,3.0,3~4회
ST_CULTURE_05,2021,4.0,5회 이상
ST_CULTURE_05,2025,1.0,전혀 없음
ST_CULTURE_05,2025,2.0,1-2회
ST_CULTURE_05,2025,3.0,3-4회
ST_CULTURE_05,2025,4.0,5회 이상
ST_CULTURE_06,2021,1.0,전혀 없음
ST_CULTURE_06,2021,2.0,1~2회
ST_CULTURE_06,2021,3.0,3~4회
ST_CULTURE_06,2021,4.0,5회 이상
ST_CULTURE_06,2025,1.0,전혀 없음
ST_CULTURE_06,2025,2.0,1-2회
ST_CULTURE_06,2025,3.0,3-4회
ST_CULTURE_06,2025,4.0,5회 이상
ST_CULTURE_07,2021,1.0,전혀 없음
ST_CULTURE_07,2021,2.0,1~2회
ST_CULTURE_07,2021,3.0,3~4회
