조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,값_2021,값_2025,직전시점,최신시점,증감,증감률,선정상태,주의사항,변화방향,절대증감순위
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,59.78,72.16,2021,2025,12.38,20.71,후보(선정 미확정),도움정도는 선행 경험자만 응답하며 응답 집단이 주기별로 다를 수 있음. 대표 지표 선정 보류.,증가,1
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,71.19,64.97,2021,2025,-6.22,-8.74,후보(선정 미확정),,감소,2
경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,19.1,24.91,2021,2025,5.81,30.42,후보(선정 미확정),,증가,3
경기학교교육실태조사,중학교,C08,참여·자치,S0802,학부모 참여,학부모,52.39,57.69,2021,2025,5.3,10.12,후보(선정 미확정),,증가,4
경기학교교육실태조사,중학교,C07,교육격차·가정배경,S0703,가정 내 대화,학부모,62.17,66.87,2021,2025,4.7,7.56,후보(선정 미확정),,증가,5
경기학교교육실태조사,중학교,C08,참여·자치,S0801,학생자치,교사,79.22,74.87,2021,2025,-4.35,-5.49,후보(선정 미확정),,감소,6
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,26.43,30.6,2021,2025,4.17,15.78,후보(선정 미확정),,증가,7
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,학생,53.73,57.44,2021,2025,3.71,6.9,후보(선정 미확정),,증가,8
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0603,수행평가,교사,79.34,75.79,2021,2025,-3.55,-4.47,후보(선정 미확정),,감소,9
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,76.53,73.27,2021,2025,-3.26,-4.26,후보(선정 미확정),,감소,10
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,77.56,74.51,2021,2025,-3.05,-3.93,후보(선정 미확정),,감소,11
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,61.44,64.49,2021,2025,3.05,4.96,후보(선정 미확정),,증가,11
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,71.91,68.88,2021,2025,-3.03,-4.21,후보(선정 미확정),,감소,13
경기학교교육실태조사,중학교,C06,수업·평가 혁신,S0601,학생중심수업,학생,63.81,66.41,2021,2025,2.6,4.07,후보(선정 미확정),,증가,14
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,53.82,51.26,2021,2025,-2.56,-4.76,후보(선정 미확정),,감소,15
경기학교교육실태조사,중학교,C04,학교생활·관계,S0401,또래·교사 관계,학부모,68.79,66.27,2021,2025,-2.52,-3.66,후보(선정 미확정),PR_RELATION_02·PR_RELATION_05는 역채점 후 평균 포함. 문항별 값·분포는 원척도.,감소,16
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,70.61,68.18,2021,2025,-2.43,-3.44,후보(선정 미확정),,감소,17
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0302,디지털 기기 활용 교육,학생,67.31,65.2,2021,2025,-2.11,-3.13,후보(선정 미확정),,감소,18
경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,63.07,64.94,2021,2025,1.87,2.96,후보(선정 미확정),,증가,19
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,72.04,70.18,2021,2025,-1.86,-2.58,후보(선정 미확정),,감소,20
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,61.05,62.88,2021,2025,1.83,3.0,후보(선정 미확정),,증가,21
경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,52.0,53.7,2021,2025,1.7,3.27,후보(선정 미확정),,증가,22
경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,54.26,55.83,2021,2025,1.57,2.89,후보(선정 미확정),,증가,23
