조사명,학교급,조사연도,주기,지역규모코드,지역규모,대분류코드,대분류,소주제코드,소주제,응답주체,indicator_id,지표명,통계유형,시계열비교가능,대표값,대표값유형,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,환산100,구인환산100,상위2선지비율,긍정응답률,절사평균,지출자수,지출참여율,지출자평균,지출자중앙값,화면표시,발생건수합계,분모학생수합계,발생률산출학교수
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_AC_CONV,자율적 역량 환산점수(0~100),score100,조건부,70.31,역량 환산점수 평균(점),6985,0,70.3051,13.536,70.83333333333334,62.5,79.16666666666666,70.31,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C01,학생성장,S0101,역량점수,학생,ST_COMP_AC_CONV,자율적 역량 환산점수(0~100),score100,조건부,70.02,역량 환산점수 평균(점),1899,0,70.0182,13.7126,70.83333333333334,60.416666666666664,79.16666666666666,70.02,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_AC_CONV,자율적 역량 환산점수(0~100),score100,조건부,73.2,역량 환산점수 평균(점),3920,431,73.2005,13.3169,75.0,64.58333333333334,83.33333333333334,73.2,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C01,학생성장,S0101,역량점수,학생,ST_COMP_AC_CONV,자율적 역량 환산점수(0~100),score100,조건부,72.24,역량 환산점수 평균(점),769,53,72.2367,13.7941,72.91666666666666,64.58333333333334,81.25,72.24,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_CC_CONV,인지적 역량 환산점수(0~100),score100,Y,56.56,역량 환산점수 평균(점),6985,0,56.5575,18.8825,58.333333333333336,45.83333333333333,70.83333333333334,56.56,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C01,학생성장,S0101,역량점수,학생,ST_COMP_CC_CONV,인지적 역량 환산점수(0~100),score100,Y,55.84,역량 환산점수 평균(점),1899,0,55.843,18.5238,58.333333333333336,45.83333333333333,70.83333333333334,55.84,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_CC_CONV,인지적 역량 환산점수(0~100),score100,Y,59.83,역량 환산점수 평균(점),3920,431,59.8299,17.3795,62.5,50.0,70.83333333333334,59.83,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C01,학생성장,S0101,역량점수,학생,ST_COMP_CC_CONV,인지적 역량 환산점수(0~100),score100,Y,55.56,역량 환산점수 평균(점),769,53,55.5646,18.8038,58.333333333333336,45.83333333333333,70.83333333333334,55.56,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_SC_CONV,사회적 역량 환산점수(0~100),score100,조건부,65.87,역량 환산점수 평균(점),6985,0,65.8742,13.1729,66.25,57.49999999999999,73.75,65.87,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C01,학생성장,S0101,역량점수,학생,ST_COMP_SC_CONV,사회적 역량 환산점수(0~100),score100,조건부,65.58,역량 환산점수 평균(점),1899,0,65.5786,13.1437,65.0,56.25,73.75,65.58,,,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C01,학생성장,S0101,역량점수,학생,ST_COMP_SC_CONV,사회적 역량 환산점수(0~100),score100,조건부,68.81,역량 환산점수 평균(점),3920,431,68.8131,14.4777,68.75,58.75,78.75,68.81,,,,,,,,,시계열,,,
